PID,Product,Category,Cost_per_box,GeoID,Geo,Boxes,TotalCost,Reveneu,Profit,SaleDate,Customers,SPID,Salesperson,Team
P07,Drinking Coco,Other,1.62,G5,Australia,257,416.34,6419,6002.66,1/8/2021 0:00,359,SP08,Ches Bonnell,unkown
P10,Spicy Special Slims,Bites,5.79,G3,Canada,579,3352.41,12726,9373.59,1/8/2021 0:00,179,SP08,Ches Bonnell,unkown
P13,85% Dark Bars,Bars,0.64,G2,USA,376,240.64,6006,5765.36,1/11/2021 0:00,109,SP16,Marney O'Breen,Jucies
P08,99% Dark & Pure,Bars,2.47,G6,UK,285,703.95,5124,4420.05,1/11/2021 0:00,33,SP15,Kelci Walkden,Yummies
P01,Milk Bars,Bars,1.52,G4,New Zealand,113,171.76,2709,2537.24,1/11/2021 0:00,188,SP23,Van Tuxwell,Yummies
P01,Milk Bars,Bars,1.52,G5,Australia,315,478.8,7238,6759.2,1/11/2021 0:00,67,SP01,Barr Faughny,Yummies
P14,White Choc,Other,0.16,G1,India,424,67.84,6776,6708.16,1/12/2021 0:00,68,SP06,Curtice Advani,Delish
P01,Milk Bars,Bars,1.52,G6,UK,8,12.16,189,176.84,1/12/2021 0:00,123,SP11,Husein Augar,Yummies
P12,Fruit & Nut Bars,Bars,1.58,G2,USA,390,616.2,4669,4052.8,1/12/2021 0:00,217,SP08,Ches Bonnell,unkown
P19,70% Dark Bites,Bites,4.97,G3,Canada,35,173.95,490,316.05,1/12/2021 0:00,188,SP01,Barr Faughny,Yummies
P19,70% Dark Bites,Bites,4.97,G5,Australia,283,1406.51,4235,2828.49,1/12/2021 0:00,76,SP08,Ches Bonnell,unkown
P07,Drinking Coco,Other,1.62,G2,USA,187,302.94,4487,4184.06,1/12/2021 0:00,161,SP13,Jan Morforth,Delish
P15,Baker's Choco Chips,Bars,3.4,G3,Canada,332,1128.8,2653,1524.2,1/12/2021 0:00,147,SP02,Dennison Crosswaite,Yummies
P10,Spicy Special Slims,Bites,5.79,G4,New Zealand,253,1464.87,5306,3841.13,1/12/2021 0:00,5,SP04,Wilone O'Kielt,Delish
P02,50% Dark Bites,Bites,2.57,G2,USA,689,1770.73,6888,5117.27,1/12/2021 0:00,112,SP16,Marney O'Breen,Jucies
P16,Organic Choco Syrup,Other,1.47,G4,New Zealand,24,35.28,721,685.72,1/12/2021 0:00,45,SP08,Ches Bonnell,unkown
P10,Spicy Special Slims,Bites,5.79,G1,India,345,1997.55,8610,6612.45,1/12/2021 0:00,124,SP14,Dotty Strutley,Delish
P12,Fruit & Nut Bars,Bars,1.58,G2,USA,903,1426.74,11739,10312.26,1/12/2021 0:00,22,SP10,Brien Boise,Jucies
P09,Orange Choco,Bars,7.14,G1,India,341,2434.74,4774,2339.26,1/13/2021 0:00,206,SP16,Marney O'Breen,Jucies
P02,50% Dark Bites,Bites,2.57,G3,Canada,789,2027.73,6307,4279.27,1/13/2021 0:00,123,SP10,Brien Boise,Jucies
P08,99% Dark & Pure,Bars,2.47,G3,Canada,217,535.99,4340,3804.01,1/13/2021 0:00,168,SP21,Mallorie Waber,unkown
P19,70% Dark Bites,Bites,4.97,G1,India,77,382.69,1078,695.31,1/13/2021 0:00,76,SP09,Andria Kimpton,Jucies
P03,Almond Choco,Bars,9.6,G6,UK,247,2371.2,5418,3046.8,1/13/2021 0:00,287,SP13,Jan Morforth,Delish
P21,Choco Coated Almonds,Bites,6.17,G2,USA,434,2677.78,6069,3391.22,1/13/2021 0:00,268,SP03,Gunar Cockshoot,Yummies
P21,Choco Coated Almonds,Bites,6.17,G2,USA,686,4232.62,12334,8101.38,1/13/2021 0:00,119,SP15,Kelci Walkden,Yummies
P07,Drinking Coco,Other,1.62,G6,UK,32,51.84,728,676.16,1/13/2021 0:00,234,SP08,Ches Bonnell,unkown
P15,Baker's Choco Chips,Bars,3.4,G1,India,165,561,2135,1574,1/13/2021 0:00,179,SP21,Mallorie Waber,unkown
P13,85% Dark Bars,Bars,0.64,G4,New Zealand,89,56.96,2121,2064.04,1/13/2021 0:00,130,SP07,Kaine Padly,Delish
P01,Milk Bars,Bars,1.52,G6,UK,222,337.44,6881,6543.56,1/14/2021 0:00,10,SP12,Karlen McCaffrey,Yummies
P07,Drinking Coco,Other,1.62,G4,New Zealand,50,81,1239,1158,1/14/2021 0:00,97,SP24,Roddy Speechley,Delish
P05,Mint Chip Choco,Bars,1.54,G5,Australia,257,395.78,3598,3202.22,1/14/2021 0:00,365,SP16,Marney O'Breen,Jucies
P20,Smooth Sliky Salty,Bars,2.97,G3,Canada,347,1030.59,6580,5549.41,1/14/2021 0:00,210,SP18,Madelene Upcott,Jucies
P10,Spicy Special Slims,Bites,5.79,G6,UK,54,312.66,1127,814.34,1/14/2021 0:00,97,SP08,Ches Bonnell,unkown
P22,Peanut Butter Cubes,Bites,3.57,G1,India,139,496.23,3605,3108.77,1/14/2021 0:00,345,SP22,Jehu Rudeforth,unkown
P11,After Nines,Bites,4.43,G4,New Zealand,196,868.28,5096,4227.72,1/14/2021 0:00,201,SP09,Andria Kimpton,Jucies
P08,99% Dark & Pure,Bars,2.47,G2,USA,98,242.06,2135,1892.94,1/14/2021 0:00,183,SP25,Camilla Castle,Delish
P04,Raspberry Choco,Bars,4.09,G2,USA,3,12.27,35,22.73,1/14/2021 0:00,142,SP13,Jan Morforth,Delish
P19,70% Dark Bites,Bites,4.97,G1,India,935,4646.95,13090,8443.05,1/14/2021 0:00,17,SP11,Husein Augar,Yummies
P20,Smooth Sliky Salty,Bars,2.97,G6,UK,1128,3350.16,15785,12434.84,1/14/2021 0:00,209,SP05,Gigi Bohling,Delish
P12,Fruit & Nut Bars,Bars,1.58,G5,Australia,810,1279.8,14574,13294.2,1/14/2021 0:00,86,SP20,Oby Sorrel,Jucies
P17,Caramel Stuffed Bars,Bars,0.54,G4,New Zealand,143,77.22,3556,3478.78,1/14/2021 0:00,195,SP11,Husein Augar,Yummies
P12,Fruit & Nut Bars,Bars,1.58,G2,USA,969,1531.02,14532,13000.98,1/14/2021 0:00,142,SP02,Dennison Crosswaite,Yummies
P17,Caramel Stuffed Bars,Bars,0.54,G4,New Zealand,159,85.86,4445,4359.14,1/14/2021 0:00,340,SP23,Van Tuxwell,Yummies
P01,Milk Bars,Bars,1.52,G2,USA,357,542.64,10339,9796.36,1/14/2021 0:00,207,SP17,Rafaelita Blaksland,unkown
P11,After Nines,Bites,4.43,G4,New Zealand,55,243.65,1351,1107.35,1/14/2021 0:00,282,SP03,Gunar Cockshoot,Yummies
P15,Baker's Choco Chips,Bars,3.4,G4,New Zealand,335,1139,4011,2872,1/14/2021 0:00,260,SP02,Dennison Crosswaite,Yummies
P12,Fruit & Nut Bars,Bars,1.58,G6,UK,483,763.14,5306,4542.86,1/14/2021 0:00,333,SP17,Rafaelita Blaksland,unkown
P11,After Nines,Bites,4.43,G2,USA,585,2591.55,18704,16112.45,1/14/2021 0:00,78,SP24,Roddy Speechley,Delish
P20,Smooth Sliky Salty,Bars,2.97,G3,Canada,582,1728.54,9310,7581.46,1/14/2021 0:00,62,SP21,Mallorie Waber,unkown
P06,Eclairs,Bites,2.24,G4,New Zealand,61,136.64,1211,1074.36,1/14/2021 0:00,37,SP04,Wilone O'Kielt,Delish
P04,Raspberry Choco,Bars,4.09,G3,Canada,148,605.32,3094,2488.68,1/15/2021 0:00,317,SP09,Andria Kimpton,Jucies
P04,Raspberry Choco,Bars,4.09,G4,New Zealand,248,1014.32,4949,3934.68,1/15/2021 0:00,244,SP17,Rafaelita Blaksland,unkown
P08,99% Dark & Pure,Bars,2.47,G4,New Zealand,19,46.93,308,261.07,1/15/2021 0:00,91,SP06,Curtice Advani,Delish
P17,Caramel Stuffed Bars,Bars,0.54,G1,India,329,177.66,7546,7368.34,1/15/2021 0:00,49,SP11,Husein Augar,Yummies
P13,85% Dark Bars,Bars,0.64,G2,USA,373,238.72,6713,6474.28,1/15/2021 0:00,422,SP12,Karlen McCaffrey,Yummies
P17,Caramel Stuffed Bars,Bars,0.54,G4,New Zealand,300,162,6895,6733,1/15/2021 0:00,318,SP14,Dotty Strutley,Delish
P05,Mint Chip Choco,Bars,1.54,G4,New Zealand,202,311.08,3430,3118.92,1/15/2021 0:00,120,SP02,Dennison Crosswaite,Yummies
P14,White Choc,Other,0.16,G4,New Zealand,348,55.68,4165,4109.32,1/18/2021 0:00,61,SP21,Mallorie Waber,unkown
P03,Almond Choco,Bars,9.6,G1,India,159,1526.4,2380,853.6,1/18/2021 0:00,209,SP25,Camilla Castle,Delish
P14,White Choc,Other,0.16,G6,UK,413,66.08,6594,6527.92,1/18/2021 0:00,114,SP03,Gunar Cockshoot,Yummies
P04,Raspberry Choco,Bars,4.09,G5,Australia,76,310.84,1428,1117.16,1/18/2021 0:00,55,SP04,Wilone O'Kielt,Delish
P07,Drinking Coco,Other,1.62,G5,Australia,116,187.92,2646,2458.08,1/18/2021 0:00,150,SP19,Beverie Moffet,Jucies
P01,Milk Bars,Bars,1.52,G1,India,11,16.72,238,221.28,1/18/2021 0:00,364,SP10,Brien Boise,Jucies
P04,Raspberry Choco,Bars,4.09,G5,Australia,50,204.5,945,740.5,1/18/2021 0:00,298,SP24,Roddy Speechley,Delish
P10,Spicy Special Slims,Bites,5.79,G6,UK,337,1951.23,9436,7484.77,1/18/2021 0:00,102,SP11,Husein Augar,Yummies
P10,Spicy Special Slims,Bites,5.79,G2,USA,152,880.08,4081,3200.92,1/18/2021 0:00,116,SP17,Rafaelita Blaksland,unkown
P08,99% Dark & Pure,Bars,2.47,G2,USA,587,1449.89,10556,9106.11,1/18/2021 0:00,25,SP04,Wilone O'Kielt,Delish
P14,White Choc,Other,0.16,G2,USA,167,26.72,2331,2304.28,1/18/2021 0:00,38,SP01,Barr Faughny,Yummies
P16,Organic Choco Syrup,Other,1.47,G3,Canada,32,47.04,896,848.96,1/19/2021 0:00,346,SP11,Husein Augar,Yummies
P18,Manuka Honey Choco,Other,4.75,G1,India,169,802.75,4214,3411.25,1/19/2021 0:00,314,SP20,Oby Sorrel,Jucies
P09,Orange Choco,Bars,7.14,G3,Canada,177,1263.78,2121,857.22,1/19/2021 0:00,90,SP20,Oby Sorrel,Jucies
P13,85% Dark Bars,Bars,0.64,G1,India,47,30.08,1029,998.92,1/19/2021 0:00,386,SP23,Van Tuxwell,Yummies
P05,Mint Chip Choco,Bars,1.54,G1,India,771,1187.34,15407,14219.66,1/19/2021 0:00,103,SP08,Ches Bonnell,unkown
P17,Caramel Stuffed Bars,Bars,0.54,G4,New Zealand,406,219.24,10129,9909.76,1/19/2021 0:00,134,SP03,Gunar Cockshoot,Yummies
P20,Smooth Sliky Salty,Bars,2.97,G2,USA,1092,3243.24,16380,13136.76,1/19/2021 0:00,203,SP13,Jan Morforth,Delish
P14,White Choc,Other,0.16,G1,India,279,44.64,3899,3854.36,1/19/2021 0:00,102,SP24,Roddy Speechley,Delish
P10,Spicy Special Slims,Bites,5.79,G3,Canada,432,2501.28,12075,9573.72,1/19/2021 0:00,264,SP05,Gigi Bohling,Delish
P18,Manuka Honey Choco,Other,4.75,G2,USA,428,2033,10696,8663,1/19/2021 0:00,115,SP11,Husein Augar,Yummies
P03,Almond Choco,Bars,9.6,G2,USA,238,2284.8,4039,1754.2,1/19/2021 0:00,436,SP19,Beverie Moffet,Jucies
P22,Peanut Butter Cubes,Bites,3.57,G1,India,202,721.14,5250,4528.86,1/19/2021 0:00,410,SP18,Madelene Upcott,Jucies
P08,99% Dark & Pure,Bars,2.47,G1,India,508,1254.76,8113,6858.24,1/19/2021 0:00,25,SP21,Mallorie Waber,unkown
P06,Eclairs,Bites,2.24,G6,UK,10,22.4,161,138.6,1/19/2021 0:00,95,SP08,Ches Bonnell,unkown
P10,Spicy Special Slims,Bites,5.79,G6,UK,294,1702.26,8218,6515.74,1/19/2021 0:00,205,SP07,Kaine Padly,Delish
P15,Baker's Choco Chips,Bars,3.4,G5,Australia,53,180.2,742,561.8,1/19/2021 0:00,80,SP06,Curtice Advani,Delish
P11,After Nines,Bites,4.43,G2,USA,111,491.73,3087,2595.27,1/19/2021 0:00,193,SP03,Gunar Cockshoot,Yummies
P18,Manuka Honey Choco,Other,4.75,G1,India,155,736.25,5110,4373.75,1/19/2021 0:00,131,SP08,Ches Bonnell,unkown
P04,Raspberry Choco,Bars,4.09,G4,New Zealand,267,1092.03,5873,4780.97,1/19/2021 0:00,164,SP04,Wilone O'Kielt,Delish
P05,Mint Chip Choco,Bars,1.54,G6,UK,357,549.78,4641,4091.22,1/19/2021 0:00,301,SP11,Husein Augar,Yummies
P22,Peanut Butter Cubes,Bites,3.57,G4,New Zealand,45,160.65,1155,994.35,1/20/2021 0:00,34,SP04,Wilone O'Kielt,Delish
P02,50% Dark Bites,Bites,2.57,G6,UK,49,125.93,784,658.07,1/20/2021 0:00,247,SP10,Brien Boise,Jucies
P05,Mint Chip Choco,Bars,1.54,G4,New Zealand,384,591.36,5369,4777.64,1/20/2021 0:00,16,SP25,Camilla Castle,Delish
P06,Eclairs,Bites,2.24,G3,Canada,18,40.32,343,302.68,1/20/2021 0:00,338,SP10,Brien Boise,Jucies
P19,70% Dark Bites,Bites,4.97,G6,UK,584,2902.48,7007,4104.52,1/20/2021 0:00,38,SP10,Brien Boise,Jucies
P15,Baker's Choco Chips,Bars,3.4,G1,India,13,44.2,126,81.8,1/20/2021 0:00,127,SP15,Kelci Walkden,Yummies
P08,99% Dark & Pure,Bars,2.47,G1,India,134,330.98,3073,2742.02,1/20/2021 0:00,57,SP16,Marney O'Breen,Jucies
P21,Choco Coated Almonds,Bites,6.17,G4,New Zealand,488,3010.96,7805,4794.04,1/21/2021 0:00,86,SP19,Beverie Moffet,Jucies
P11,After Nines,Bites,4.43,G6,UK,124,549.32,3087,2537.68,1/21/2021 0:00,14,SP09,Andria Kimpton,Jucies
P21,Choco Coated Almonds,Bites,6.17,G4,New Zealand,452,2788.84,9030,6241.16,1/21/2021 0:00,85,SP13,Jan Morforth,Delish
P20,Smooth Sliky Salty,Bars,2.97,G2,USA,411,1220.67,7805,6584.33,1/21/2021 0:00,6,SP04,Wilone O'Kielt,Delish
P11,After Nines,Bites,4.43,G1,India,233,1032.19,6979,5946.81,1/21/2021 0:00,38,SP18,Madelene Upcott,Jucies
P07,Drinking Coco,Other,1.62,G1,India,513,831.06,11284,10452.94,1/21/2021 0:00,39,SP19,Beverie Moffet,Jucies
P01,Milk Bars,Bars,1.52,G5,Australia,90,136.8,2408,2271.2,1/21/2021 0:00,106,SP17,Rafaelita Blaksland,unkown
P02,50% Dark Bites,Bites,2.57,G6,UK,332,853.24,5299,4445.76,1/21/2021 0:00,86,SP03,Gunar Cockshoot,Yummies
P16,Organic Choco Syrup,Other,1.47,G6,UK,234,343.98,6293,5949.02,1/21/2021 0:00,158,SP10,Brien Boise,Jucies
P03,Almond Choco,Bars,9.6,G5,Australia,17,163.2,280,116.8,1/21/2021 0:00,408,SP08,Ches Bonnell,unkown
P13,85% Dark Bars,Bars,0.64,G1,India,30,19.2,644,624.8,1/21/2021 0:00,483,SP05,Gigi Bohling,Delish
P21,Choco Coated Almonds,Bites,6.17,G5,Australia,110,678.7,2191,1512.3,1/21/2021 0:00,65,SP07,Kaine Padly,Delish
P21,Choco Coated Almonds,Bites,6.17,G4,New Zealand,26,160.42,427,266.58,1/21/2021 0:00,267,SP16,Marney O'Breen,Jucies
P20,Smooth Sliky Salty,Bars,2.97,G3,Canada,426,1265.22,5537,4271.78,1/21/2021 0:00,346,SP14,Dotty Strutley,Delish
P08,99% Dark & Pure,Bars,2.47,G5,Australia,31,76.57,742,665.43,1/21/2021 0:00,264,SP18,Madelene Upcott,Jucies
P13,85% Dark Bars,Bars,0.64,G3,Canada,248,158.72,4200,4041.28,1/21/2021 0:00,457,SP23,Van Tuxwell,Yummies
P15,Baker's Choco Chips,Bars,3.4,G6,UK,442,1502.8,5299,3796.2,1/21/2021 0:00,203,SP08,Ches Bonnell,unkown
P17,Caramel Stuffed Bars,Bars,0.54,G2,USA,160,86.4,3829,3742.6,1/21/2021 0:00,286,SP08,Ches Bonnell,unkown
P18,Manuka Honey Choco,Other,4.75,G4,New Zealand,192,912,5747,4835,1/21/2021 0:00,70,SP20,Oby Sorrel,Jucies
P13,85% Dark Bars,Bars,0.64,G4,New Zealand,147,94.08,2345,2250.92,1/21/2021 0:00,199,SP06,Curtice Advani,Delish
P09,Orange Choco,Bars,7.14,G4,New Zealand,616,4398.24,4312,-86.24,1/22/2021 0:00,181,SP12,Karlen McCaffrey,Yummies
P13,85% Dark Bars,Bars,0.64,G4,New Zealand,68,43.52,1358,1314.48,1/22/2021 0:00,68,SP25,Camilla Castle,Delish
P09,Orange Choco,Bars,7.14,G2,USA,1644,11738.16,13146,1407.84,1/22/2021 0:00,85,SP01,Barr Faughny,Yummies
P14,White Choc,Other,0.16,G5,Australia,927,148.32,12047,11898.68,1/22/2021 0:00,295,SP05,Gigi Bohling,Delish
P20,Smooth Sliky Salty,Bars,2.97,G3,Canada,460,1366.2,5971,4604.8,1/22/2021 0:00,44,SP08,Ches Bonnell,unkown
P02,50% Dark Bites,Bites,2.57,G4,New Zealand,254,652.78,3038,2385.22,1/22/2021 0:00,280,SP16,Marney O'Breen,Jucies
P16,Organic Choco Syrup,Other,1.47,G6,UK,268,393.96,8022,7628.04,1/22/2021 0:00,167,SP20,Oby Sorrel,Jucies
P15,Baker's Choco Chips,Bars,3.4,G3,Canada,248,843.2,2226,1382.8,1/22/2021 0:00,1,SP16,Marney O'Breen,Jucies
